x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-0.691012,7.973255,0.5000,0.5000,0.0000
-0.728965,8.069751,0.5000,0.5000,0.0000
-0.757913,8.167286,0.5000,0.5000,0.0000
-0.771190,8.268226,0.5000,0.5000,0.0000
-0.766667,8.373139,0.5000,0.5000,0.0000
-0.762950,8.476644,0.5000,0.5000,0.0000
-0.756451,8.577209,0.5000,0.5000,0.0000
-0.739910,8.691416,0.5000,0.5000,0.0000
-0.724511,8.796539,0.5000,0.5000,0.0000
-0.697809,8.899591,0.5000,0.5000,0.0000
