,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
103,20.488420,2.422520,0.126787,-0.043452,0.121861,-5.302987,1.331222,-0.957979,7.958205
104,20.687337,2.439586,0.118554,-0.029806,0.245537,-5.391987,0.792558,-1.070357,7.958205
105,20.886254,2.465246,0.113021,-0.021031,0.317743,-5.489502,0.469171,-1.302085,7.958205
106,21.085170,2.495415,0.108485,-0.021944,0.359541,-5.605503,0.306702,-1.373574,7.958205
107,21.284087,2.527964,0.103003,-0.027805,0.386310,-5.725390,0.242305,-1.422642,7.958205
108,21.483004,2.562008,0.096677,-0.028805,0.407104,-5.847477,0.249585,-1.530344,7.958205
109,21.681920,2.597360,0.091401,-0.016440,0.428229,-5.977006,0.332739,-1.726613,7.958205
110,21.880837,2.634650,0.091768,0.026677,0.456285,-6.122591,0.493670,-1.891925,7.958205
111,22.079754,2.675512,0.106689,0.110383,0.498538,-6.284520,0.710918,-1.911927,7.958205
112,22.278671,2.722593,0.144748,0.205140,0.561678,-6.454328,1.018326,-2.040653,7.958205
113,22.477587,2.777640,0.202015,0.243392,0.653906,-6.639145,1.539098,-2.385514,7.958205
114,22.676504,2.837681,0.253239,0.175941,0.782565,-6.838560,0.000000,0.000000,7.958205
