%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1774712713991230010,8871,1774712713991230010,map,71,7.055192425991059,-0.0008354465769728064,0.00899456370984623,0.0,0.0,0.9663729374793237,0.25714460077470636,7.257569367155854,0.2013021021331114,3.432279482154915e-05,0.0,0.0,0.0
1774712714011223793,8872,1774712714011223793,map,72,7.20039423752122,8.051556383420477e-17,0.008995339531633536,0.0,0.0,0.9614366955525594,0.2750263268215884,7.163491712723737,0.06784135655112067,3.6075592006510345e-05,0.0,0.0,0.0
1774712714031227827,8873,1774712714031227827,map,73,7.343672949443473,5.689893001203927e-16,0.008995921014150364,0.0,0.0,0.9587820191131166,0.28414263992821515,7.114025427673327,0.06844268780940999,1.2888142778594624e-05,0.0,0.0,0.0
1774712714051224946,8874,1774712714051224946,map,75,7.4859595370442165,-0.0002822938734340615,0.008995958189899976,0.0,0.0,0.9559965630302778,0.2933778646631269,7.061189168287667,0.20869990953483875,-5.380676417530981e-06,0.0,0.0,0.0
1774712714071231842,8875,1774712714071231842,map,76,7.6272446883571945,1.5092094240998222e-16,0.00899622388969255,0.0,0.0,0.9500098399603026,0.31221996089071585,6.961688533695189,0.07035423421269815,3.5769142833780715e-05,0.0,0.0,0.0
1774712714091217517,8876,1774712714091217517,map,78,7.766489144683556,-0.0007018094401445713,0.008996891090302385,0.0,0.0,0.9467971138872427,0.3218310506069722,6.906505308445852,0.21461229224892797,3.0470603456494798e-05,0.0,0.0,0.0
1774712714111226558,8877,1774712714111226558,map,79,7.904680979873511,-6.938893903907228e-18,0.008997094067270027,0.0,0.0,0.9399028397817876,0.3414420181672598,6.803877116027167,0.07234532194488397,-6.844942863907314e-06,0.0,0.0,0.0
1774712714131279945,8878,1774712714131279945,map,80,8.040768754883088,7.632783294297951e-17,0.008996988603607353,0.0,0.0,0.936208644559749,0.3514446952958567,6.750622548975068,0.07301735733567094,-1.5519994052260517e-06,0.0,0.0,0.0
1774712714151220321,8879,1774712714151220321,map,82,8.175790627485577,-0.0005447077712193629,0.008996992863977926,0.0,0.0,0.9323416432877513,0.3615785671074761,6.693337346879871,0.22270470790685692,1.59033849207114e-06,0.0,0.0,0.0
1774712714171230792,8880,1774712714171230792,map,83,8.309727812742922,2.723515857283587e-16,0.008996995428566657,0.0,0.0,0.9240628746794507,0.3822405049692535,6.588250002533773,0.07504463009093332,-1.0436079952605798e-07,0.0,0.0,0.0
