x_m,y_m
4.479009,-3.472368
4.534348,-3.459392
4.583804,-3.447986
4.636961,-3.437821
4.697508,-3.424470
4.753558,-3.413391
4.809691,-3.396900
4.861456,-3.380716
4.915843,-3.366152
4.969173,-3.351747
5.023890,-3.335036
5.079716,-3.318307
5.130453,-3.301949
5.178063,-3.285137
5.222977,-3.268083
5.267527,-3.255240
5.317168,-3.241846
5.361469,-3.229235
5.412657,-3.215645
5.457540,-3.204567
5.504274,-3.193047
5.560711,-3.176376
5.611172,-3.164833
5.671613,-3.150834
5.730050,-3.137413
5.798149,-3.124546
5.859494,-3.107714
5.915938,-3.092582
5.981115,-3.075690
6.044018,-3.059785
6.099290,-3.048957
6.147041,-3.036606
6.187176,-3.028188
6.228455,-3.020709
6.254553,-3.011494
6.287611,-3.006878
6.320200,-2.998768
6.347123,-2.990191
6.377690,-2.975710
6.463636,-2.952866
6.554715,-2.932557
6.642167,-2.909281
6.773219,-2.908610
6.953651,-2.954825
7.133232,-3.004349
7.311392,-3.068308
7.488220,-3.145705
7.661847,-3.239490
7.777486,-3.357638
7.890568,-3.483418
8.005983,-3.613040
8.076768,-3.738150
8.098233,-3.818573
8.115387,-3.907106
8.129016,-3.989993
8.144591,-4.066797
8.157594,-4.138588
8.169314,-4.200102
8.174502,-4.266907
8.184194,-4.331469
8.195360,-4.381393
8.206817,-4.436324
8.219377,-4.482372
8.234957,-4.532332
8.247163,-4.582593
8.258598,-4.627186
8.273353,-4.677625
8.296802,-4.725715
8.280114,-4.863636
8.240367,-5.008314
8.188712,-5.145593
8.133071,-5.282445
8.071779,-5.410494
8.004079,-5.539117
7.923869,-5.672977
7.840146,-5.796115
7.742880,-5.909725
7.673486,-5.938469
7.622682,-5.957001
7.577024,-5.980208
7.490516,-6.016070
7.406190,-6.051818
7.322453,-6.085181
7.250161,-6.109042
7.175440,-6.134954
7.113132,-6.160684
7.057208,-6.173603
7.001284,-6.186522
6.942018,-6.205530
6.926118,-6.210419
6.892995,-6.224345
6.855798,-6.237301
6.817791,-6.257083
6.778760,-6.271950
6.729953,-6.290065
6.675347,-6.317466
6.614707,-6.348733
6.552599,-6.371831
6.485958,-6.396819
6.430323,-6.415495
6.379557,-6.435126
6.324770,-6.450569
6.268810,-6.471474
6.211594,-6.488284
6.156743,-6.504073
6.103903,-6.520150
6.054133,-6.536525
6.009289,-6.550872
5.966236,-6.562920
5.925964,-6.575245
5.891590,-6.589071
5.850234,-6.600830
5.812777,-6.616253
5.775660,-6.630662
5.739930,-6.641648
5.711846,-6.652897
5.677821,-6.668121
5.648806,-6.682357
5.619362,-6.689370
5.581105,-6.701697
5.553808,-6.712443
5.526207,-6.722343
5.490822,-6.734860
5.465511,-6.745045
5.433252,-6.755849
5.399865,-6.767423
5.364658,-6.779402
5.327617,-6.794671
5.297572,-6.805460
5.263741,-6.819498
5.230476,-6.831867
5.200143,-6.843145
5.156808,-6.856561
5.117198,-6.872443
5.079489,-6.886802
5.043346,-6.899002
5.004816,-6.915705
4.959916,-6.935180
4.915488,-6.953667
4.862599,-6.971750
4.814291,-6.993671
4.765466,-7.018560
4.716102,-7.036563
4.665344,-7.055852
4.613377,-7.077913
4.564233,-7.095620
4.516355,-7.111930
4.468030,-7.129234
4.426614,-7.145648
4.380185,-7.162487
4.336528,-7.177411
4.296100,-7.194153
4.257792,-7.209875
4.219537,-7.225272
4.171674,-7.242277
4.133255,-7.256915
4.099035,-7.269040
4.062889,-7.282519
4.029186,-7.294123
3.990249,-7.308216
3.950702,-7.319335
3.906175,-7.334700
3.856368,-7.350488
