x_m,y_m
6.211122,-4.975886
6.206843,-4.978415
6.201365,-4.982550
6.193808,-4.989908
6.184489,-4.995250
6.174660,-5.000266
6.163266,-5.005503
6.147011,-5.015039
6.130485,-5.024188
6.103277,-5.032079
6.071583,-5.039586
6.034393,-5.046607
5.989690,-5.057635
5.944988,-5.067604
5.897398,-5.079037
5.842385,-5.094420
5.792609,-5.104943
5.736694,-5.117407
5.683779,-5.129088
5.635353,-5.141030
5.593600,-5.154182
5.554934,-5.162269
5.518076,-5.169466
5.467653,-5.179852
5.427131,-5.187351
5.381457,-5.198594
5.342195,-5.208282
5.310335,-5.218065
5.277258,-5.228412
5.244204,-5.236427
5.208169,-5.244760
5.163173,-5.254387
5.137162,-5.259653
5.109863,-5.264669
5.077632,-5.270704
5.050666,-5.271778
5.015602,-5.277805
4.987084,-5.283291
4.950658,-5.284430
4.922186,-5.289735
4.893073,-5.295489
4.858123,-5.301510
4.813549,-5.311451
4.777430,-5.316940
4.726697,-5.327757
4.676933,-5.333847
4.624043,-5.340606
4.574140,-5.351661
4.518792,-5.362603
4.474318,-5.373002
4.427064,-5.384188
4.379528,-5.390378
4.326613,-5.396451
4.277153,-5.402542
4.233462,-5.412792
4.184027,-5.422722
4.133553,-5.432665
4.085254,-5.438609
4.034918,-5.445744
3.985702,-5.451142
3.936162,-5.461933
3.900609,-5.468241
3.863973,-5.478659
3.815977,-5.485384
3.764645,-5.491648
3.719272,-5.497851
3.681780,-5.504208
3.637718,-5.509438
3.598984,-5.515653
3.571586,-5.520610
3.529349,-5.530390
3.488516,-5.535291
3.455380,-5.540986
3.423616,-5.546730
3.385860,-5.552612
3.338132,-5.562539
3.298798,-5.569084
3.251084,-5.579799
3.198872,-5.586531
3.148385,-5.592965
3.089644,-5.600118
3.027124,-5.610045
2.976574,-5.616322
2.928676,-5.626293
2.870728,-5.632291
2.801320,-5.647397
2.738114,-5.657347
2.679069,-5.666592
2.626159,-5.676960
2.577260,-5.687726
2.528701,-5.694554
2.464436,-5.709904
2.401020,-5.720972
2.356277,-5.731054
2.314972,-5.740990
2.277258,-5.748030
2.236229,-5.756423
2.193970,-5.764932
2.151448,-5.773900
2.107998,-5.783814
2.078062,-5.788671
2.039679,-5.794499
1.996071,-5.802361
1.959129,-5.803565
1.914410,-5.810091
1.869706,-5.816251
1.815226,-5.824391
1.765588,-5.832300
1.719903,-5.840333
1.656341,-5.849313
1.595686,-5.861209
1.535374,-5.873628
1.453095,-5.888840
1.377327,-5.902343
1.266240,-5.907254
1.166159,-5.909057
0.986346,-6.077799
0.813799,-6.260396
0.659069,-6.453322
0.518018,-6.660432
0.387088,-6.879228
0.278659,-7.109717
0.173901,-7.346923
0.115595,-7.602818
0.063749,-7.871596
0.098959,-7.981415
0.136965,-8.082446
0.181226,-8.189222
0.219994,-8.282103
0.259369,-8.371523
0.301872,-8.454940
0.345912,-8.533263
0.387086,-8.610638
0.425539,-8.675130
0.517158,-8.782114
0.623464,-8.892327
0.736515,-8.991713
0.859941,-9.088425
0.983246,-9.175754
1.106924,-9.260009
1.237014,-9.343671
1.393597,-9.423598
1.551488,-9.507010
1.655190,-9.539234
1.758271,-9.561876
1.847075,-9.579530
1.931729,-9.596627
2.019885,-9.613259
2.103639,-9.625669
2.174630,-9.637049
2.236048,-9.645867
2.302797,-9.651729
2.368624,-9.657646
2.421453,-9.663578
2.482644,-9.668367
2.538364,-9.672797
2.589708,-9.676998
2.643927,-9.681524
2.718956,-9.686882
2.773124,-9.688800
2.821072,-9.690422
2.866857,-9.691787
2.913886,-9.693170
2.968492,-9.699775
3.025998,-9.706403
3.081056,-9.713227
3.141129,-9.719919
3.192335,-9.725786
3.253784,-9.732323
3.316080,-9.738626
3.386351,-9.748916
3.456906,-9.759166
3.513742,-9.764447
3.577891,-9.769672
3.645204,-9.769746
3.711857,-9.774362
3.773132,-9.777188
3.843059,-9.776878
3.910781,-9.779795
3.977841,-9.775496
4.040848,-9.770854
4.108777,-9.767898
4.165655,-9.763077
4.221824,-9.762888
4.275343,-9.758117
4.328581,-9.755120
4.375504,-9.754782
4.425296,-9.751224
4.474639,-9.750832
4.537362,-9.744851
4.594382,-9.737151
4.661464,-9.731504
4.723685,-9.725951
4.786249,-9.720569
4.847738,-9.715132
4.903346,-9.709817
4.958797,-9.704339
5.009921,-9.699042
5.050616,-9.699384
5.097797,-9.699000
5.143259,-9.697579
5.191565,-9.696304
5.244416,-9.693842
5.293312,-9.688001
5.339252,-9.682020
5.389124,-9.676259
5.441063,-9.670335
5.496341,-9.664601
5.546079,-9.659497
5.593010,-9.655115
5.647339,-9.649985
5.697498,-9.645814
5.753458,-9.643676
5.813939,-9.638464
5.865929,-9.633027
5.918601,-9.627584
5.969000,-9.622162
6.019263,-9.616742
6.072449,-9.611424
6.123558,-9.606528
6.174117,-9.601379
6.231687,-9.592359
6.285252,-9.586596
6.338260,-9.581018
6.395588,-9.575479
6.450476,-9.569743
6.506022,-9.564043
6.567855,-9.549119
6.626542,-9.535495
6.679809,-9.522617
6.719683,-9.515282
6.760597,-9.508848
6.816531,-9.503031
6.864973,-9.497190
6.915717,-9.491917
6.965843,-9.486575
7.006760,-9.490516
7.047472,-9.493232
7.088278,-9.495774
7.134859,-9.498539
7.178491,-9.500583
7.211219,-9.502233
7.245679,-9.503884
7.276066,-9.505463
7.307036,-9.507678
7.370158,-9.517443
7.431576,-9.524701
7.498740,-9.535165
7.564408,-9.545466
7.621292,-9.546332
7.674005,-9.547635
7.731979,-9.549584
7.800921,-9.558585
7.871168,-9.563969
7.908858,-9.563753
7.941708,-9.566876
7.974118,-9.570789
8.008559,-9.576019
8.057190,-9.591117
8.111340,-9.607721
8.166298,-9.625753
8.211151,-9.637377
8.254365,-9.653454
8.302181,-9.670456
8.357485,-9.687515
8.410220,-9.701839
8.465230,-9.716719
8.520687,-9.732292
8.573582,-9.746345
8.622150,-9.759526
8.677336,-9.775011
8.731341,-9.789813
8.779374,-9.802388
8.825362,-9.815714
8.878136,-9.830010
8.927563,-9.843139
8.979273,-9.854699
9.031390,-9.869262
9.085989,-9.883782
9.135407,-9.895841
9.188634,-9.906837
9.239832,-9.917151
9.294962,-9.931277
9.345172,-9.943296
9.395588,-9.954794
9.443723,-9.968709
9.499061,-9.981561
9.550331,-9.993458
9.600810,-10.006200
9.650762,-10.021804
9.704458,-10.038680
9.754961,-10.051331
9.805856,-10.066046
9.860855,-10.082402
9.910098,-10.096955
9.960620,-10.112965
10.013808,-10.129745
10.064999,-10.145385
10.112323,-10.159577
10.160599,-10.175757
10.209518,-10.193484
10.259226,-10.211841
10.306093,-10.230060
10.359944,-10.250215
10.405309,-10.267448
10.451063,-10.286238
10.500354,-10.306643
10.552049,-10.327901
10.605089,-10.348424
10.655349,-10.367728
10.707956,-10.385210
10.756897,-10.402097
10.806285,-10.419518
10.860578,-10.436642
10.913736,-10.453495
10.977393,-10.471624
11.036420,-10.489360
11.082594,-10.509959
11.134784,-10.531873
11.182138,-10.554417
11.231839,-10.577953
11.278873,-10.599232
11.321759,-10.619183
11.366679,-10.640669
11.402559,-10.665368
11.442648,-10.691428
11.491995,-10.713711
11.535146,-10.726969
11.583254,-10.749958
11.632157,-10.773177
11.681941,-10.798120
11.733348,-10.826607
11.783881,-10.852552
11.831778,-10.873847
11.876283,-10.894003
11.923185,-10.915634
11.971262,-10.944786
12.018583,-10.967259
12.064271,-10.988883
12.112974,-11.011914
12.156646,-11.032838
12.202705,-11.055030
12.248619,-11.075565
12.298270,-11.101086
12.346938,-11.126529
12.396784,-11.151932
12.444985,-11.177066
12.492805,-11.201335
12.538604,-11.226854
12.587090,-11.251840
12.628991,-11.274734
12.671085,-11.303471
12.711028,-11.328462
12.752054,-11.352888
12.792343,-11.379341
12.830200,-11.403928
12.868034,-11.430090
12.917039,-11.463029
12.962903,-11.495775
13.008788,-11.528413
13.055042,-11.559773
13.116071,-11.598965
13.180514,-11.637038
13.243081,-11.672111
13.304829,-11.707052
13.363125,-11.740512
13.404900,-11.762790
13.444473,-11.783115
13.484322,-11.805648
13.521060,-11.823211
13.536568,-11.831826
13.545310,-11.839757
13.551768,-11.851413
13.555999,-11.863595
13.559763,-11.880300
13.561588,-11.901019
13.560479,-11.929735
13.558454,-11.955307
13.544403,-11.992920
13.533702,-12.031466
13.513252,-12.071857
13.486004,-12.114293
13.455560,-12.153888
