right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-3.615781,-4.217963,0.139009,-3.557861,-6.050309,0.139009,-3.596188,-4.903734,0.139009
-3.868282,-4.224347,0.139011,-3.804500,-6.059091,0.139011,-3.844844,-4.929742,0.139011
-4.118019,-4.231322,0.138992,-4.053148,-6.069026,0.138992,-4.093810,-4.955221,0.138992
-4.364102,-4.237626,0.139002,-4.303581,-6.078329,0.139002,-4.343503,-4.981026,0.139002
-4.611803,-4.244575,0.139023,-4.553786,-6.089911,0.139023,-4.592793,-5.005992,0.139023
-4.855968,-4.250923,0.138990,-4.798750,-6.101754,0.138990,-4.842151,-5.030348,0.138990
-5.108972,-4.257475,0.139008,-5.049161,-6.112235,0.139008,-5.091142,-5.054333,0.139008
-5.361251,-4.263830,0.138992,-5.302041,-6.120599,0.138992,-5.341391,-5.077259,0.138992
-5.607376,-4.269622,0.138996,-5.553970,-6.130885,0.138996,-5.591402,-5.100083,0.138996
-5.868112,-4.275320,0.139499,-5.787316,-6.141398,0.139499,-5.841813,-5.123046,0.139499
-6.146855,-4.286961,0.139658,-6.013405,-6.154975,0.139658,-6.093219,-5.146585,0.139658
-6.433844,-4.306795,0.139129,-6.233947,-6.172623,0.139129,-6.343486,-5.168186,0.139129
-6.714979,-4.341423,0.139634,-6.451911,-6.196868,0.139634,-6.594964,-5.189424,0.139634
-6.985481,-4.383661,0.139527,-6.666132,-6.229279,0.139527,-6.845038,-5.209952,0.139527
-7.258674,-4.434726,0.139272,-6.870983,-6.266782,0.139272,-7.095163,-5.228585,0.139272
-7.524024,-4.494934,0.139476,-7.080080,-6.315131,0.139476,-7.344532,-5.246646,0.139476
-7.792473,-4.565094,0.139577,-7.285076,-6.368989,0.139577,-7.594061,-5.266921,0.139577
-8.056660,-4.644539,0.139172,-7.484888,-6.429578,0.139172,-7.838619,-5.323923,0.139172
-8.301792,-4.724395,0.139319,-7.669874,-6.487576,0.139319,-8.048889,-5.460400,0.139319
-8.525610,-4.807502,0.139089,-7.844501,-6.551594,0.139089,-8.189510,-5.668446,0.139089
-8.744938,-4.896854,0.138994,-7.994450,-6.614727,0.138994,-8.304931,-5.890345,0.138994
-8.979949,-5.005983,0.138989,-8.160724,-6.692155,0.138989,-8.444636,-6.099241,0.138989
-9.236966,-5.144894,0.138992,-8.324594,-6.775469,0.138992,-8.585075,-6.307408,0.138992
-9.505372,-5.307932,0.138990,-8.502963,-6.877416,0.138990,-8.725218,-6.515266,0.138990
-9.812198,-5.532282,0.139020,-8.662137,-6.992796,0.139020,-8.866055,-6.722657,0.139020
-10.153581,-5.857230,0.139037,-8.807470,-7.122504,0.139037,-9.011317,-6.926407,0.139037
-10.493304,-6.327297,0.139237,-8.918790,-7.265309,0.139237,-9.171158,-7.118916,0.139237
-10.732633,-6.875319,0.138997,-8.984263,-7.416755,0.138997,-9.324147,-7.316867,0.138997
-10.852864,-7.380483,0.139003,-9.012152,-7.548642,0.139003,-9.477406,-7.515234,0.139003
-10.857071,-7.819510,0.138994,-9.003812,-7.688522,0.138994,-9.606825,-7.730779,0.138994
-10.805754,-8.169328,0.139007,-8.976291,-7.815159,0.139007,-9.702143,-7.962878,0.139007
-10.706518,-8.509406,0.139010,-8.934074,-7.948327,0.139010,-9.767077,-8.205465,0.139010
-10.578704,-8.813837,0.139016,-8.874664,-8.085989,0.139016,-9.773954,-8.455664,0.139016
-10.448811,-9.105442,0.139013,-8.815486,-8.205414,0.139013,-9.709114,-8.697603,0.139013
-10.304198,-9.370274,0.139023,-8.717578,-8.372967,0.139023,-9.578657,-8.912068,0.139023
-10.155209,-9.612226,0.138990,-8.596848,-8.548784,0.138990,-9.424683,-9.110734,0.138990
-9.978852,-9.848161,0.139027,-8.465552,-8.733814,0.139027,-9.290565,-9.323113,0.139027
-9.791810,-10.078588,0.138996,-8.336832,-8.893457,0.138996,-9.157348,-9.536673,0.138996
-9.604971,-10.290450,0.139085,-8.215639,-9.029525,0.139085,-9.024346,-9.749799,0.139085
-9.417990,-10.490647,0.139188,-8.072061,-9.178669,0.139188,-8.879691,-9.955531,0.139188
-9.228419,-10.679947,0.139401,-7.932675,-9.318153,0.139401,-8.669355,-10.092178,0.139401
-9.024877,-10.867674,0.139018,-7.778727,-9.462050,0.139018,-8.473260,-10.249450,0.139018
-8.811768,-11.048233,0.138980,-7.611211,-9.605813,0.138980,-8.278688,-10.408234,0.138980
-8.594561,-11.222377,0.138986,-7.439176,-9.744366,0.138986,-8.081631,-10.563728,0.138986
-8.365056,-11.385634,0.138990,-7.268243,-9.869728,0.138990,-7.885617,-10.720921,0.138990
-8.137009,-11.545162,0.139007,-7.090722,-9.995465,0.139007,-7.690565,-10.879156,0.139007
-7.903369,-11.693367,0.139198,-6.914717,-10.107121,0.139198,-7.495138,-11.037333,0.139198
-7.666653,-11.833013,0.139722,-6.738101,-10.213455,0.139722,-7.300333,-11.194327,0.139722
-7.422655,-11.967620,0.139651,-6.568388,-10.307538,0.139651,-7.078751,-11.312099,0.139651
-7.160255,-12.092883,0.139678,-6.375160,-10.403210,0.139678,-6.864411,-11.443227,0.139678
-6.917309,-12.209829,0.139732,-6.189352,-10.488808,0.139732,-6.646898,-11.566754,0.139732
-6.661587,-12.307559,0.139868,-5.998866,-10.561659,0.139868,-6.395978,-11.580377,0.139868
-6.412928,-12.400550,0.139210,-5.811967,-10.631305,0.139210,-6.146660,-11.604582,0.139210
-6.134000,-12.476538,0.139611,-5.612832,-10.690851,0.139611,-5.890542,-11.641936,0.139611
-5.860476,-12.554358,0.139275,-5.408536,-10.749557,0.139275,-5.642701,-11.679185,0.139275
