,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
108,21.570018,7.562092,0.203279,-0.224381,2.824401,-1.043965,-8.064960,11.813878,15.510823
109,21.769740,7.635844,0.157852,-0.218204,2.605309,-0.723030,-8.369951,11.876307,15.510823
110,21.969462,7.702783,0.114219,-0.208812,2.380561,-0.404131,-8.665738,11.974215,15.510823
111,22.169185,7.762775,0.072543,-0.201900,2.151120,-0.087093,-8.907606,12.044923,15.510823
112,22.368907,7.816040,0.031980,-0.199203,1.917917,0.228247,-9.083678,12.073788,15.510823
113,22.568629,7.862817,-0.008428,-0.200902,1.681838,0.542036,-9.195834,12.064730,15.510823
114,22.768352,7.903281,-0.049598,-0.205369,1.443743,0.854412,-9.263721,12.044309,15.510823
115,22.968074,7.937481,-0.091719,-0.208977,1.204471,1.165503,-9.307394,12.038587,15.510823
116,23.167797,7.965405,-0.134301,-0.209410,0.964855,1.475433,-9.343346,12.068512,15.510823
117,23.367519,7.987040,-0.176374,-0.204662,0.725716,1.784321,-9.357791,12.115916,15.510823
118,23.567241,8.002463,-0.216817,-0.195654,0.487860,2.092284,-9.306842,12.123602,15.510823
119,23.766964,8.011836,-0.255295,-0.186239,0.252078,2.399426,-9.194987,12.096549,15.510823
120,23.966686,8.015271,-0.292038,-0.177887,0.019160,2.705843,-9.059432,12.082826,15.510823
121,24.166409,8.012855,-0.327073,-0.169031,-0.210105,3.011621,-8.915910,12.103416,15.510823
122,24.366131,8.004722,-0.359981,-0.157779,-0.434942,3.316839,-8.750838,12.140336,15.510823
123,24.565853,7.991048,-0.390167,-0.143593,-0.654594,3.621569,-8.522261,12.134749,15.510823
124,24.765576,7.971953,-0.417281,-0.128250,-0.868307,3.925873,-8.209990,12.054510,15.510823
125,24.965298,7.947451,-0.441512,-0.114163,-1.075302,4.229799,-7.857873,11.959552,15.510823
126,25.165020,7.917624,-0.463151,-0.101208,-1.274771,4.533386,-7.503772,11.906670,15.510823
127,25.364743,7.882719,-0.482134,-0.087409,-1.465901,4.836664,-7.140357,11.886721,15.510823
128,25.564465,7.843035,-0.498074,-0.071385,-1.647904,5.139648,-6.741328,11.857141,15.510823
129,25.764188,7.798770,-0.510536,-0.053226,-1.820000,5.442343,-6.293281,11.791514,15.510823
130,25.963910,7.750026,-0.519219,-0.033748,-1.981393,5.744740,-5.802543,11.696166,15.510823
131,26.163632,7.696918,-0.523938,-0.013455,-2.131254,6.046813,-5.282017,11.588461,15.510823
