right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
0.769821,-5.861508,0.128989,0.720885,-4.482610,0.128989,0.759862,-5.241100,0.128989
0.991148,-5.861260,0.129002,0.988031,-4.468120,0.129002,1.009854,-5.235682,0.129002
1.244407,-5.863399,0.128993,1.243523,-4.470187,0.128993,1.260840,-5.230159,0.128993
1.481301,-5.873143,0.128980,1.522541,-4.477412,0.128980,1.511529,-5.224834,0.128980
1.740729,-5.887067,0.128997,1.775166,-4.490724,0.128997,1.761558,-5.219008,0.128997
1.971443,-5.905753,0.128996,2.045019,-4.501601,0.128996,2.011719,-5.233706,0.128996
2.224452,-5.921518,0.128989,2.298877,-4.510883,0.128989,2.260885,-5.257721,0.128989
2.470755,-5.931677,0.128982,2.559731,-4.520576,0.128982,2.510757,-5.276225,0.128982
2.727177,-5.938743,0.128992,2.813416,-4.530771,0.128992,2.760521,-5.295741,0.128992
2.984264,-5.946005,0.128988,3.049571,-4.544772,0.128988,3.011179,-5.314920,0.128988
3.250766,-5.956017,0.129029,3.296414,-4.556050,0.129029,3.261799,-5.334100,0.129029
3.526466,-5.957647,0.128995,3.537971,-4.561357,0.128995,3.511956,-5.353733,0.128995
3.776101,-5.950075,0.129013,3.786564,-4.564712,0.129013,3.762128,-5.373027,0.129013
4.018411,-5.935712,0.128992,3.986865,-4.570023,0.128992,4.011853,-5.392166,0.128992
4.276064,-5.914100,0.129017,4.216782,-4.569442,0.129017,4.262407,-5.411048,0.129017
4.566643,-5.875354,0.128986,4.431065,-4.557621,0.128986,4.513451,-5.404520,0.128986
4.843732,-5.821785,0.128997,4.649826,-4.532303,0.128997,4.759955,-5.350896,0.128997
5.135235,-5.738103,0.129001,4.845656,-4.493871,0.129001,4.991924,-5.256739,0.129001
5.430495,-5.620852,0.128998,5.022794,-4.454634,0.128998,5.217072,-5.145887,0.128998
5.729903,-5.465338,0.129049,5.204036,-4.401367,0.129049,5.446000,-5.042834,0.129049
5.992557,-5.266072,0.129068,5.349690,-4.343886,0.129068,5.614128,-4.856768,0.129068
6.217108,-5.025322,0.128991,5.478506,-4.263092,0.128991,5.781867,-4.669866,0.128991
6.408579,-4.730573,0.129090,5.582478,-4.167847,0.129090,5.952041,-4.486283,0.129090
6.538599,-4.402199,0.129001,5.655686,-4.059231,0.129001,6.059226,-4.258143,0.129001
6.608631,-4.076728,0.129035,5.699414,-3.938775,0.129035,6.143188,-4.022112,0.129035
6.627522,-3.777511,0.128980,5.706082,-3.796006,0.128980,6.209108,-3.779868,0.128980
6.610857,-3.497375,0.129023,5.687390,-3.636693,0.129023,6.247508,-3.531751,0.129023
6.576017,-3.218470,0.128990,5.645028,-3.470367,0.128990,6.217444,-3.282573,0.128990
6.496568,-2.918345,0.128988,5.581893,-3.324130,0.128988,6.123726,-3.049638,0.128988
6.368441,-2.627420,0.129000,5.505213,-3.197598,0.129000,6.004351,-2.828897,0.129000
6.188145,-2.358252,0.129017,5.398920,-3.079907,0.129017,5.860189,-2.624454,0.129017
5.979084,-2.129422,0.129046,5.283340,-2.980550,0.129046,5.664658,-2.468084,0.129046
5.746343,-1.937817,0.129030,5.155742,-2.892121,0.129030,5.428069,-2.386004,0.129030
5.489044,-1.773727,0.128993,5.004701,-2.829881,0.128993,5.179257,-2.354806,0.128993
5.198674,-1.639995,0.128993,4.839004,-2.782013,0.128993,4.936214,-2.293056,0.128993
4.871826,-1.546365,0.128999,4.632683,-2.753961,0.128999,4.693143,-2.230127,0.128999
4.549820,-1.483899,0.129036,4.437943,-2.743396,0.129036,4.450708,-2.167311,0.129036
4.232151,-1.459120,0.128987,4.224613,-2.746436,0.128987,4.205883,-2.114863,0.128987
3.941807,-1.453668,0.128993,4.020955,-2.758926,0.128993,3.956497,-2.092017,0.128993
3.668874,-1.467834,0.128994,3.800371,-2.789150,0.128994,3.706192,-2.096646,0.128994
3.395953,-1.493677,0.128990,3.576832,-2.818321,0.128990,3.465612,-2.167485,0.128990
3.143793,-1.524799,0.129022,3.330052,-2.860860,0.129022,3.232421,-2.260567,0.129022
2.877059,-1.558658,0.129019,3.079342,-2.896953,0.129019,2.993733,-2.335029,0.129019
2.635041,-1.587512,0.129061,2.829318,-2.935501,0.129061,2.754447,-2.408675,0.129061
2.409481,-1.617051,0.129003,2.569232,-2.968936,0.129003,2.504358,-2.431685,0.129003
2.183901,-1.642407,0.128998,2.311918,-2.994898,0.128998,2.253772,-2.435732,0.128998
1.984538,-1.665639,0.129040,2.012738,-3.008915,0.129040,2.003896,-2.455018,0.129040
1.758731,-1.669992,0.128990,1.739917,-3.001717,0.128990,1.753616,-2.474893,0.128990
1.524417,-1.661649,0.129008,1.473468,-2.991120,0.129008,1.499684,-2.495249,0.129008
1.250492,-1.648439,0.129001,1.245876,-2.982439,0.129001,1.249134,-2.515259,0.129001
0.997263,-1.637836,0.128996,0.992891,-2.981052,0.128996,0.999099,-2.535245,0.128996
0.757169,-1.633596,0.129033,0.738906,-2.979139,0.129033,0.748593,-2.545602,0.129033
0.508276,-1.628067,0.128980,0.490048,-2.979181,0.128980,0.498374,-2.556587,0.128980
0.253072,-1.631024,0.129021,0.256412,-2.980907,0.129021,0.247591,-2.551456,0.129021
0.000289,-1.636150,0.129034,0.011698,-2.978826,0.129034,0.000090,-2.509217,0.129034
-0.253972,-1.639124,0.128993,-0.245881,-2.980766,0.128993,-0.248673,-2.484310,0.128993
-0.492394,-1.635624,0.129000,-0.512204,-2.976803,0.129000,-0.498495,-2.462418,0.129000
-0.760230,-1.633246,0.128999,-0.759294,-2.980377,0.128999,-0.748971,-2.439510,0.128999
-0.988391,-1.630201,0.128990,-1.006874,-2.978364,0.128990,-0.998805,-2.416994,0.128990
-1.261266,-1.634198,0.128997,-1.244102,-2.982382,0.128997,-1.247996,-2.394435,0.128997
-1.508259,-1.631080,0.128987,-1.507829,-2.980470,0.128987,-1.497911,-2.371807,0.128987
-1.744743,-1.635529,0.128981,-1.750064,-2.982378,0.128981,-1.747409,-2.349467,0.128981
-1.991348,-1.631805,0.128997,-2.000373,-2.982098,0.128997,-1.997806,-2.326782,0.128997
-2.223331,-1.631700,0.128998,-2.243440,-2.983982,0.128998,-2.247980,-2.308509,0.128998
