right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
-10.587807,-8.808734,0.139016,-8.878919,-8.080944,0.139016,-9.773954,-8.455664,0.139016
-10.457565,-9.086775,0.139013,-8.813303,-8.218863,0.139013,-9.709114,-8.697603,0.139013
-10.312951,-9.351600,0.139023,-8.717929,-8.377920,0.139023,-9.578657,-8.912068,0.139023
-10.152667,-9.596596,0.138990,-8.606654,-8.543857,0.138990,-9.424683,-9.110734,0.138990
-9.974554,-9.849780,0.139027,-8.476260,-8.723048,0.139027,-9.290565,-9.323113,0.139027
-9.787511,-10.080214,0.138996,-8.341650,-8.895394,0.138996,-9.157348,-9.536673,0.138996
-9.604125,-10.287736,0.139085,-8.212619,-9.039200,0.139085,-9.024346,-9.749799,0.139085
-9.417194,-10.482111,0.139188,-8.080576,-9.181824,0.139188,-8.879691,-9.955531,0.139188
-9.227402,-10.669934,0.139401,-7.941895,-9.317191,0.139401,-8.669355,-10.092178,0.139401
-9.029697,-10.851577,0.139018,-7.788500,-9.460890,0.139018,-8.473260,-10.249450,0.139018
-8.817347,-11.031391,0.138980,-7.611895,-9.609388,0.138980,-8.278688,-10.408234,0.138980
-8.598378,-11.202876,0.138986,-7.436050,-9.753238,0.138986,-8.081631,-10.563728,0.138986
-8.358182,-11.380910,0.138990,-7.269086,-9.879424,0.138990,-7.885617,-10.720921,0.138990
-8.129080,-11.539360,0.139007,-7.093194,-10.004176,0.139007,-7.690565,-10.879156,0.139007
-7.892840,-11.687150,0.139198,-6.928055,-10.111381,0.139198,-7.495138,-11.037333,0.139198
-7.675202,-11.813709,0.139722,-6.742910,-10.222674,0.139722,-7.300333,-11.194327,0.139722
-7.427846,-11.956212,0.139651,-6.568067,-10.317386,0.139651,-7.078751,-11.312099,0.139651
-7.178247,-12.089239,0.139678,-6.368945,-10.414255,0.139678,-6.864411,-11.443227,0.139678
-6.923691,-12.208297,0.139732,-6.187271,-10.496375,0.139732,-6.646898,-11.566754,0.139732
-6.676802,-12.303588,0.139868,-5.998164,-10.570297,0.139868,-6.395978,-11.580377,0.139868
-6.420263,-12.389548,0.139210,-5.816305,-10.637375,0.139210,-6.146660,-11.604582,0.139210
-6.143458,-12.472027,0.139611,-5.616559,-10.696801,0.139611,-5.890542,-11.641936,0.139611
-5.868390,-12.548425,0.139275,-5.416811,-10.754008,0.139275,-5.642701,-11.679185,0.139275
-5.591179,-12.616251,0.139379,-5.203958,-10.801825,0.139379,-5.394508,-11.715453,0.139379
-5.318729,-12.676070,0.139042,-4.988151,-10.844965,0.139042,-5.145698,-11.751315,0.139042
-5.019556,-12.720742,0.139004,-4.760593,-10.877442,0.139004,-4.897139,-11.787127,0.139004
-4.716769,-12.752370,0.138995,-4.541722,-10.904126,0.138995,-4.648178,-11.823332,0.138995
-4.417441,-12.777135,0.138994,-4.325428,-10.926574,0.138994,-4.399422,-11.859098,0.138994
-4.159150,-12.799824,0.139013,-4.098239,-10.944642,0.139013,-4.150823,-11.894931,0.139013
-3.929530,-12.812466,0.138996,-3.871272,-10.958875,0.138996,-3.903159,-11.931079,0.138996
-3.683788,-12.827264,0.139007,-3.628170,-10.967715,0.139007,-3.655456,-11.967802,0.139007
-3.429980,-12.833768,0.139006,-3.395152,-10.972856,0.139006,-3.406245,-11.997928,0.139006
-3.162014,-12.842379,0.138993,-3.148367,-10.975925,0.138993,-3.155184,-11.987412,0.138993
-2.908045,-12.842756,0.139033,-2.907710,-10.975770,0.139033,-2.905667,-11.955707,0.139033
-2.648886,-12.841672,0.138990,-2.666869,-10.974510,0.138990,-2.655932,-11.937175,0.138990
-2.381240,-12.834462,0.139016,-2.419879,-10.970568,0.139016,-2.405274,-11.917296,0.139016
-2.149889,-12.824140,0.138997,-2.179462,-10.965358,0.138997,-2.155762,-11.896188,0.138997
-1.891800,-12.811321,0.139001,-1.936735,-10.958620,0.139001,-1.906112,-11.872359,0.139001
-1.651793,-12.801843,0.138992,-1.717363,-10.950285,0.138992,-1.657249,-11.848471,0.138992
-1.317665,-12.777280,0.138996,-1.528117,-10.936277,0.138996,-1.408417,-11.822590,0.138996
-1.015593,-12.737219,0.138991,-1.410038,-10.920661,0.138991,-1.161221,-11.784706,0.138991
-0.717034,-12.681108,0.139186,-1.270066,-10.865722,0.139186,-0.916410,-11.733610,0.139186
